G3,G2
6,6
5,6
8,10
14,15
10,10
15,15
12,11
5,6
18,19
15,15
8,9
12,12
14,14
10,11
16,16
14,14
14,14
10,10
5,5
10,10
14,15
15,15
15,16
13,12
9,8
9,8
12,11
16,15
11,11
12,11
11,12
16,17
16,16
10,12
14,15
7,6
16,18
16,15
12,11
13,13
10,11
12,12
18,18
8,11
10,9
8,6
12,11
19,20
15,14
7,7
13,13
13,13
11,10
10,11
13,13
9,10
15,15
15,15
10,9
16,16
11,11
8,11
10,9
9,9
10,10
15,15
13,12
7,6
9,8
16,16
15,15
10,10
6,5
12,14
12,11
9,10
11,10
11,11
8,10
5,5
12,12
10,11
6,6
15,15
10,10
9,8
7,6
14,14
10,10
6,7
7,8
17,18
6,6
10,10
13,14
10,10
15,15
9,10
14,14
9,8
7,5
17,17
13,14
6,6
18,18
11,11
8,8
18,18
13,13
15,16
19,19
10,10
13,13
19,19
9,9
15,16
13,14
14,13
7,8
13,13
15,15
14,15
13,13
11,13
7,8
13,12
10,11
8,9
4,0
18,18
0,0
0,0
13,12
11,11
0,0
0,0
0,0
0,0
12,12
16,15
9,0
9,9
11,11
14,13
0,0
11,11
7,0
11,11
6,0
9,10
5,0
13,14
10,10
0,0
11,12
8,8
12,13
8,10
15,15
12,12
6,0
9,7
0,0
10,10
8,7
11,12
10,10
15,16
7,0
14,14
5,0
15,16
11,10
7,0
11,9
9,9
13,11
5,6
8,9
10,11
8,8
13,12
17,17
9,8
13,12
12,11
12,11
15,15
7,9
9,10
12,13
8,9
8,8
9,10
14,14
15,15
15,16
9,10
18,18
9,10
16,16
10,10
9,10
6,6
10,11
9,9
7,7
12,13
9,10
7,7
8,8
12,13
13,14
7,8
10,10
15,15
6,4
6,8
7,8
10,10
6,6
5,0
16,17
13,13
13,14
8,7
15,15
11,12
8,9
10,12
13,14
11,11
9,9
13,13
7,6
9,10
13,13
12,12
11,11
7,0
12,12
11,12
0,0
12,12
0,0
18,18
12,13
8,8
5,5
15,15
8,8
10,10
9,8
9,8
12,12
9,8
12,13
11,11
14,14
9,0
18,18
8,8
12,12
9,9
10,0
17,17
9,10
10,11
9,10
0,0
9,9
14,14
11,11
14,14
10,10
12,12
9,9
9,9
8,8
11,10
8,8
9,10
12,12
9,10
9,11
10,11
18,19
12,12
14,14
13,15
11,11
15,15
12,13
18,18
13,14
12,11
9,0
8,8
13,14
15,16
10,11
11,10
12,14
17,18
14,13
12,12
18,18
9,8
12,12
10,10
9,0
12,13
11,11
10,11
13,13
11,11
8,0
10,9
11,10
11,11
13,13
9,9
11,11
14,15
15,15
12,11
15,16
10,10
9,9
14,14
8,8
14,14
0,0
8,0
9,0
15,15
13,13
8,0
15,17
10,10
12,11
10,0
15,15
8,0
10,10
13,14
15,16
10,9
15,15
13,13
7,8
13,13
7,8
8,8
11,11
9,9
13,13
12,11
10,10
16,16
13,13
12,12
11,10
15,15
11,12
10,10
13,13
6,0
10,10
12,11
7,9
12,12
11,11
5,5
18,19
8,10
14,15
9,10
15,15
10,10
14,14
6,7
11,10
5,0
5,5
9,10
5,6
5,0
9,8
5,0
9,9
16,16
8,7
12,10
9,9
